"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"The Impact of Data Merging on the Interpretation of Cross-Project Just-In-Time Defect Models","D. Lin; C. Tantithamthavorn; A. E. Hassan","Centre for Software Excellence, Huawei Technologies Co Ltd Canada, 538302 Kingston, Ontario, Canada, (e-mail: dayi.lin@huawei.com); Faculty of Information Technology, Monash University, 2541 Clayton, Victoria, Australia, (e-mail: chakkrit@monash.edu); School of Computing, Queen's University, Kingston, Ontario, Canada, (e-mail: ahmed@cs.queensu.ca)","IEEE Transactions on Software Engineering","","2021","PP","99","1","1","Just-In-Time (JIT) defect models are classification models that identify the code commits that are likely to introduce defects. Cross-project JIT models have been introduced to address the suboptimal performance of JIT models when historical data is limited. However, many studies built cross-project JIT models using a pool of mixed data from multiple projects (i.e., data merging)---assuming that the properties of defect-introducing commits of a project are similar to that of the other projects, which is likely not true. In this paper, we set out to investigate the interpretation of JIT defect models that are built from individual project data and a pool of mixed project data with and without consideration of project-level variances. Through a case study of 20 datasets of open source projects, we found that (1) the interpretation of JIT models that are built from individual projects varies among projects; and (2) the project-level variances cannot be captured by a JIT model that is trained from a pool of mixed data from multiple projects without considering project-level variances (i.e., a global JIT model). On the other hand, a mixed-effect JIT model that considers project-level variances represents the different interpretations better, without sacrificing performance, especially when the contexts of projects are considered. The results hold for different mixed-effect learning algorithms. When the goal is to derive sound interpretation of cross-project JIT models, we suggest that practitioners and researchers should opt to use a mixed-effect modelling approach that considers individual projects and contexts.","1939-3520","","10.1109/TSE.2021.3073920","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9408228","Just-In-Time Defect Prediction;Data Merging;Mixed-Effect Model;Cross-Project Defect Prediction","Context modeling;Data models;Predictive models;Measurement;Training;Merging;Planning","","","","","","","IEEE","19 Apr 2021","","","IEEE","IEEE Early Access Articles"
"A large-scale empirical study of just-in-time quality assurance","Y. Kamei; E. Shihab; B. Adams; A. E. Hassan; A. Mockus; A. Sinha; N. Ubayashi","Kyushu University, Fukuoka; Rochester Institute of Technology, Rochester; École Polytechnique de Montréal, Montréal; Queen's University, Kingston; Avaya Labs Research, Basking Ridge; Research In Motion, Waterloo; Kyushu University, Fukuoka","IEEE Transactions on Software Engineering","23 May 2013","2013","39","6","757","773","Defect prediction models are a well-known technique for identifying defect-prone files or packages such that practitioners can allocate their quality assurance efforts (e.g., testing and code reviews). However, once the critical files or packages have been identified, developers still need to spend considerable time drilling down to the functions or even code snippets that should be reviewed or tested. This makes the approach too time consuming and impractical for large software systems. Instead, we consider defect prediction models that focus on identifying defect-prone (“risky”) software changes instead of files or packages. We refer to this type of quality assurance activity as “Just-In-Time Quality Assurance,” because developers can review and test these risky changes while they are still fresh in their minds (i.e., at check-in time). To build a change risk model, we use a wide range of factors based on the characteristics of a software change, such as the number of added lines, and developer experience. A large-scale study of six open source and five commercial projects from multiple domains shows that our models can predict whether or not a change will lead to a defect with an average accuracy of 68 percent and an average recall of 64 percent. Furthermore, when considering the effort needed to review changes, we find that using only 20 percent of the effort it would take to inspect all changes, we can identify 35 percent of all defect-inducing changes. Our findings indicate that “Just-In-Time Quality Assurance” may provide an effort-reducing way to focus on the most risky changes and thus reduce the costs of developing high-quality software.","1939-3520","","10.1109/TSE.2012.70","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6341763","Maintenance;software metrics;mining software repositories;defect prediction;just-in-time prediction","Measurement;Quality assurance;Predictive models;Software;Entropy;Object oriented modeling;Accuracy","program testing;software maintenance;software metrics;software quality","just-in-time quality assurance;defect prediction models;defect-prone file identification;defect-prone package identification;software systems;risk model;open source projects;commercial projects;risky changes;cost reduction;defect-prone software change identification;software metrics;software repository mining;software quality assurance activities;source code inspection;unit testing","","196","1","63","","10 Nov 2012","","","IEEE","IEEE Journals"
"Deep Semantic Feature Learning for Software Defect Prediction","S. Wang; T. Liu; J. Nam; L. Tan","Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada; School of Computer Science and Electrical Engineering, Handong Global University, Pohang, Korea; Department of Electrical and Computer Engineering, University of Waterloo, Waterloo, ON, Canada","IEEE Transactions on Software Engineering","10 Dec 2020","2020","46","12","1267","1293","Software defect prediction, which predicts defective code regions, can assist developers in finding bugs and prioritizing their testing efforts. Traditional defect prediction features often fail to capture the semantic differences between different programs. This degrades the performance of the prediction models built on these traditional features. Thus, the capability to capture the semantics in programs is required to build accurate prediction models. To bridge the gap between semantics and defect prediction features, we propose leveraging a powerful representation-learning algorithm, deep learning, to learn the semantic representations of programs automatically from source code files and code changes. Specifically, we leverage a deep belief network (DBN) to automatically learn semantic features using token vectors extracted from the programs' abstract syntax trees (AST) (for file-level defect prediction models) and source code changes (for change-level defect prediction models). We examine the effectiveness of our approach on two file-level defect prediction tasks (i.e., file-level within-project defect prediction and file-level cross-project defect prediction) and two change-level defect prediction tasks (i.e., change-level within-project defect prediction and change-level cross-project defect prediction). Our experimental results indicate that the DBN-based semantic features can significantly improve the examined defect prediction tasks. Specifically, the improvements of semantic features against existing traditional features (in F1) range from 2.1 to 41.9 percentage points for file-level within-project defect prediction, from 1.5 to 13.4 percentage points for file-level cross-project defect prediction, from 1.0 to 8.6 percentage points for change-level within-project defect prediction, and from 0.6 to 9.9 percentage points for change-level cross-project defect prediction.","1939-3520","","10.1109/TSE.2018.2877612","Natural Sciences and Engineering Research Council of Canada; National Research Foundation of Korea(grant numbers:2018R1C1B6001919); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8502853","Defect prediction;quality assurance;deep learning;semantic features","Semantics;Predictive models;Feature extraction;Quality assurance;Computer bugs;Data models;Prediction models","abstract data types;belief networks;feature extraction;learning (artificial intelligence);program debugging;program testing;programming language semantics;software quality;tree data structures","deep semantic feature learning;software defect prediction;defective code regions;semantic differences;semantic representations;source code files;file-level defect prediction models;source code changes;change-level defect prediction models;file-level within-project defect prediction;change-level within-project defect prediction;DBN-based semantic features;file-level cross-project defect prediction;change-level cross-project defect prediction;representation-learning algorithm;defect prediction features;deep belief network;token vectors;abstract syntax trees","","19","","111","IEEE","23 Oct 2018","","","IEEE","IEEE Journals"
"A Preliminary Evaluation of CPDP Approaches on Just-in-Time Software Defect Prediction","S. Amasaki; H. Aman; T. Yokogawa","Okayama Prefectural University,Department of Systems Engineering,Soja,Japan; Center for Information Technology Ehime University,Matsuyama,Japan; Okayama Prefectural University,Department of Systems Engineering,Soja,Japan","2021 47th Euromicro Conference on Software Engineering and Advanced Applications (SEAA)","27 Oct 2021","2021","","","279","286","CONTEXT: Just-in-Time defect prediction is to specify the suspicious code commits that might make a product cause defects. Building JIT defect prediction models require a commit history and their fixed defect records. The shortage of commits of new projects motivated research of JIT cross-project defect prediction (CPDP). CPDP approaches proposed for component-level defect prediction were barely evaluated under JIT CPDP. OBJECTIVE: To explore the effects of CPDP approaches for component-level defect prediction where JIT CPDP is adopted. METHOD: A case study was conducted through two commit dataset suites provided in past studies for JIT defect prediction. JIT defect predictions with and without 21 CPDP approaches were compared regarding the classification performance using AUC. The CPDP approaches were also compared with each other. RESULTS: Most CPDP approaches changed the prediction performance of a baseline that simply combined all CP data. A few CPDP approaches could improve the prediction performance significantly. Not a few approaches worsened the performance significantly. The results based on the two suites could specify two CPDP approaches safer than the baseline. The results were inconsistent with a previous study. CONCLUSIONS: CPDP approaches for component-level might be effective for JIT CPDP. Further evaluations were needed to bring a firm conclusion.","","978-1-6654-2705-0","10.1109/SEAA53835.2021.00042","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9582597","just-in-time defect prediction;cross-project defect prediction;empirical study","Codes;Buildings;Predictive models;Software;History;Software engineering","","","","","","47","","27 Oct 2021","","","IEEE","IEEE Conferences"
"The Impact of Human Discussions on Just-in-Time Quality Assurance: An Empirical Study on OpenStack and Eclipse","P. Tourani; B. Adams","Polytech. Montreal, Montreal, ON, Canada; Polytech. Montreal, Montreal, ON, Canada","2016 IEEE 23rd International Conference on Software Analysis, Evolution, and Reengineering (SANER)","23 May 2016","2016","1","","189","200","In order to spot defect-introducing code changes during review before they are integrated into a project's version control system, a variety of defect prediction models have been designed. Most of these models focus exclusively on source code properties, like the number of added or deleted lines, or developer-related measures like experience. However, a code change is only the outcome of a much longer process, involving discussions on an issue report and review discussions on (different versions of) a patch. % Ignoring the characteristics of these activities during prediction is unfortunate, since Similar to how body language implicitly can reveal a person's real feelings, the length, intensity or positivity of these discussions can provide important additional clues about how risky a particular patch is or how confident developers and reviewers are about the patch. In this paper, we build logistic regression models to study the impact of the characteristics of issue and review discussions on the defect-proneness of a patch. Comparison of these models to conventional source code-based models shows that issue and review metrics combined improve precision and recall of the explanatory models up to 10%. Review time and issue discussion lag are amongst the most important metrics, having a positive (i.e., increasing) relation with defect-proneness.","","978-1-5090-1855-0","10.1109/SANER.2016.113","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7476642","Just-In-Time Quality Assurance;Human Discussion Metrics","Measurement;Predictive models;Software;Control systems;Biological system modeling;Data models;Databases","configuration management;just-in-time;project management;quality assurance;regression analysis;software fault tolerance;software quality;software reviews;source code (software)","human discussions;just-in-time quality assurance;OpenStack;Eclipse;defect-introducing code changes;project version control system;defect prediction models;source code properties;developer-related measures;person real feelings;logistic regression models;source code-based models;review metrics;precision;recall;review time;issue discussion lag;defect-proneness","","7","","45","","23 May 2016","","","IEEE","IEEE Conferences"
"An Implementation of Just-in-Time Fault-Prone Prediction Technique Using Text Classifier","K. Mori; O. Mizuno","Grad. Sch. of Sci. & Technol., Kyoto Inst. of Technol., Kyoto, Japan; Grad. Sch. of Sci. & Technol., Kyoto Inst. of Technol., Kyoto, Japan","2015 IEEE 39th Annual Computer Software and Applications Conference","24 Sep 2015","2015","3","","609","612","Since the fault prediction is an important technique to help allocating software maintenance effort, much research on fault prediction has been proposed so far. The goal of these studies is applying their prediction technique to actual software development. In this paper, we implemented a prototype fault-prone module prediction tool using a text-filtering based technique named ""Fault-Prone Filtering"". Our tool aims to show the result of fault prediction for each change (i.e., Commits) as a probability that a source code file to be faulty. The result is shown on a Web page and easy to track the histories of prediction. A case study performed on three open source projects shows that our tool could detect 90 percent of the actual fault modules (i.e., The recall of 0.9) with the accuracy of 0.67 and the precision of 0.63 on average.","0730-3157","978-1-4673-6564-2","10.1109/COMPSAC.2015.143","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7273434","software development support tool;fault prediction;software maintenance;mining software repository;machine learning;spam filter","Predictive models;Filtering;Data mining;Accuracy;Software maintenance;Databases","information filters;pattern classification;public domain software;software fault tolerance;software maintenance;source code (software);text analysis;Web sites","just-in-time fault-prone prediction technique;text classifier;fault prediction;software maintenance;software development;prototype fault-prone module prediction tool;text-filtering based technique;fault-prone filtering;probability;source code;Web page;open source project","","2","","9","","24 Sep 2015","","","IEEE","IEEE Conferences"
"Leveraging Fault Localisation to Enhance Defect Prediction","J. Sohn; Y. Kamei; S. McIntosh; S. Yoo","KAIST,Daejeon,Korea; Kyushu University,Kyushu,Japan; University of Waterloo,Waterloo,Canada; KAIST,Daejeon,Korea","2021 IEEE International Conference on Software Analysis, Evolution and Reengineering (SANER)","11 May 2021","2021","","","284","294","Software Quality Assurance (SQA) is a resource constrained activity. Research has explored various means of sup-porting that activity. For example, to aid in resource investment decisions, defect prediction identifies modules or changes that are likely to be defective in the future. To support repair activities, fault localisation identifies areas of code that are likely to require change to address known defects. Although the identification and localisation of defects are interdependent tasks, the synergy between defect prediction and fault localisation remains largely underexplored.We hypothesise that modifying code that was suspicious in the past is riskier than modifying code that was not. To validate our hypothesis, in this paper, we employ fault localisation, which localises the root cause of a program failure. We compute the past suspiciousness score of code changes to each fault, and use those scores to (1) define new features for training defect prediction models; and (2) guide the next actions of developers for a commit labelled as fix-inducing. An empirical study of three open-source projects confirms our hypothesis. The new suspiciousness features improve F1 score and balanced accuracy of Just-In-Time (JIT) defect prediction models by 4.2% to 92.2% and by 1.2% to 3.7%, respectively. When guiding developer actions, past code suspiciousness successfully guides developers to a defective file, inspecting two to nine fewer files on average, compared to the baselines based on previous findings on past faults. These results demonstrate the potential of synergies of fault localisation and defect prediction, and lay the groundwork for explorations of that combined space.","1534-5351","978-1-7281-9630-5","10.1109/SANER50967.2021.00034","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9425917","defect prediction;fault localisation;search-based software engineering;software quality assurance","Fault diagnosis;Training;Quality assurance;Computational modeling;Software quality;Predictive models;Maintenance engineering","investment;just-in-time;program debugging;program diagnostics;program testing;public domain software;quality assurance;software fault tolerance;software metrics;software quality","fault localisation;modifying code;code changes;training defect prediction models;Just-In-Time defect prediction models;code suspiciousness;defective file;enhance defect prediction;resource constrained activity;known defects","","","","36","","11 May 2021","","","IEEE","IEEE Conferences"
"The Impact of Duplicate Changes on Just-in-Time Defect Prediction","R. Duan; H. Xu; Y. Fan; M. Yan","School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing 100083 China and also with the Yunhe (Henan) Information Technology Company Ltd., Zhengzhou 450000 China (e-mail: duanruifeng0905@163.com).; School of Computer and Communication Engineering, University of Science and Technology Beijing, Beijing 100083 China (e-mail: alex_xuht@hotmail.com).; College of Computer Science and Technology, Zhejiang University, Hangzhou 310007 China (e-mail: yrfan@zju.edu.cn).; School of Big Data and Software Engineering, Chongqing University, Chongqing 401331 China (e-mail: mengy@cqu.edu.cn).","IEEE Transactions on Reliability","","2021","PP","99","1","15","Recently, just-in-time (JIT) defect prediction technique attracted a lot of attention. In JIT defect prediction, all branches and omitting changes outside the main branch should be considered which can significantly affect the performance of JIT defect prediction. However, there are many duplicate changes among all the branches, which are referred to as a pair of changes with identical implementation in different branches. Such changes can influence the calculation of developer experience metrics and are considered as the noisy data for JIT defect prediction. In this article, the impact of duplicate changes on JIT defect prediction is explored. An empirical study on a total of 105 828 changes from eight Apache open-source projects is given. We find that 13% of changes from different branches are duplicate among the studied projects. The duplicate changes have a great influence on the model metrics for JIT defect prediction. For 50% of the changes, removing duplicate changes decreases the experience metrics with an average of 6–55. In addition, the duplicate changes have a significant impact on the evaluation and interpretation of JIT defect prediction models. Removing duplicate changes among the studied projects can significantly improve the performance of JIT defect prediction models ranging from 1 to 125% concerning various performance measures (i.e., area under the curve, Matthews correlation coefficient, and F1). Given the impact of duplicate changes, we suggest that researchers should remove duplicate changes from the original historical changes of software repository when evaluating the performance of JIT defect prediction models in future work.","1558-1721","","10.1109/TR.2021.3061618","National Science Foundation Project of China(grant numbers:61971032); National Natural Science Foundation of China(grant numbers:62002034); Fundamental Research Funds for the Central Universities(grant numbers:2020CDCGRJ072 2020CDJQY-A021); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9380201","Branches;just-in-time (JIT) defect prediction;mining software repositories;noisy data","Predictive models;Computer bugs;Measurement;Software;Prediction algorithms;Noise measurement;Fans","","","","","","","IEEE","17 Mar 2021","","","IEEE","IEEE Early Access Articles"
"Automatic Feature Exploration and an Application in Defect Prediction","Y. Qiu; Y. Liu; A. Liu; J. Zhu; J. Xu","College of Artificial Intelligence, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Computer Science, Nankai University, Tianjin, China; College of Software, Nankai University, Tianjin, China; College of Artificial Intelligence, Nankai University, Tianjin, China","IEEE Access","21 Aug 2019","2019","7","","112097","112112","Many software engineering tasks heavily rely on hand-crafted software features, e.g., defect prediction, vulnerability discovery, software requirements, code review, and malware detection. Previous solutions to these tasks usually directly use the hand-crafted features or feature selection techniques for classification or regression, which usually leads to suboptimal results due to their lack of powerful representations of the hand-crafted features. To address the above problem, in this paper, we adopt the effort-aware just-in-time software defect prediction (JIT-SDP), which is a typical hand-crafted-feature-based task, as an example, to exploit new possible solutions. We propose a new model, named neural forest (NF), which uses the deep neural network and decision forest to build a holistic system for the automatic exploration of powerful feature representations that are used for the following classification. NF first employs a deep neural network to learn new feature representations from hand-crafted features. Then, a decision forest is connected after the neural network to perform classification and in the meantime, to guide the learning of feature representation. NF mainly aims at solving the challenging problem of combining the two different worlds of neural networks and decision forests in an end-to-end manner. When compared with previous state-of-the-art defect predictors and five designed baselines on six well-known benchmarks for within- and cross-project defect prediction, NF achieves significantly better results. The proposed NF model is generic to the classification problems which rely on the hand-crafted features.","2169-3536","","10.1109/ACCESS.2019.2934530","Science and Technology Planning Project of Tianjin(grant numbers:17JCZDJC30700,18ZXZNGX00310); Nankai University(grant numbers:63191402); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8794540","Feature exploration;hand-crafted features;defect prediction","Feature extraction;Forestry;Software;Noise measurement;Neural networks;Task analysis","feature extraction;feature selection;invasive software;just-in-time;learning (artificial intelligence);neural nets;pattern classification;regression analysis;software metrics;software quality","software engineering tasks;feature selection techniques;deep neural network;feature representation;decision forests;cross-project defect prediction;just-in-time software defect prediction;hand-crafted software features;software requirements;malware detection;regression analysis;neural forest;classification problems;hand-crafted-feature-based task","","2","","99","CCBY","12 Aug 2019","","","IEEE","IEEE Journals"
"Class Imbalance Evolution and Verification Latency in Just-in-Time Software Defect Prediction","G. G. Cabral; L. L. Minku; E. Shihab; S. Mujahid",University of Birmingham (UK) and Federal Rural University of Pernambuco (Brazil); University of Birmingham (UK); Concordia University (Canada); Concordia University (Canada),"2019 IEEE/ACM 41st International Conference on Software Engineering (ICSE)","26 Aug 2019","2019","","","666","676","Just-in-Time Software Defect Prediction (JIT-SDP) is an SDP approach that makes defect predictions at the software change level. Most existing JIT-SDP work assumes that the characteristics of the problem remain the same over time. However, JIT-SDP may suffer from class imbalance evolution. Specifically, the imbalance status of the problem (i.e., how much underrepresented the defect-inducing changes are) may be intensified or reduced over time. If occurring, this could render existing JIT-SDP approaches unsuitable, including those that re-build classifiers over time using only recent data. This work thus provides the first investigation of whether class imbalance evolution poses a threat to JIT-SDP. This investigation is performed in a realistic scenario by taking into account verification latency -- the often overlooked fact that labeled training examples arrive with a delay. Based on 10 GitHub projects, we show that JIT-SDP suffers from class imbalance evolution, significantly hindering the predictive performance of existing JIT-SDP approaches. Compared to state-of-the-art class imbalance evolution learning approaches, the predictive performance of JIT-SDP approaches was up to 97.2% lower in terms of g-mean. Hence, it is essential to tackle class imbalance evolution in JIT-SDP. We then propose a novel class imbalance evolution approach for the specific context of JIT-SDP. While maintaining top ranked g-means, this approach managed to produce up to 63.59% more balanced recalls on the defect-inducing and clean classes than state-of-the-art class imbalance evolution approaches. We thus recommend it to avoid overemphasizing one class over the other in JIT-SDP.","1558-1225","978-1-7281-0869-8","10.1109/ICSE.2019.00076","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8812072","Software defect prediction;class imbalance;verification latency;online learning;concept drift;ensembles","Software;Training;Machine learning algorithms;Machine learning;Prediction algorithms;Delays","learning (artificial intelligence);pattern classification;safety-critical software;sampling methods;software fault tolerance","SDP approach;predictive performance;class imbalance evolution approach;just-in-time software defect prediction;JIT-SDP approaches;top ranked g-means","","6","","36","","26 Aug 2019","","","IEEE","IEEE Conferences"
"Revisiting the Impact of Concept Drift on Just-in-Time Quality Assurance","K. E. Bennin; N. b. Ali; J. Börstler; X. Yu","Blekinge Institute of Technology,Department of Software Engineering,Karlskrona,Sweden; Blekinge Institute of Technology,Department of Software Engineering,Karlskrona,Sweden; Blekinge Institute of Technology,Department of Software Engineering,Karlskrona,Sweden; City University of Hong Kong,Department of Computer Science,Kowloon Tong,Hong Kong","2020 IEEE 20th International Conference on Software Quality, Reliability and Security (QRS)","11 Dec 2020","2020","","","53","59","The performance of software defect prediction(SDP) models is known to be dependent on the datasets used for training the models. Evolving data in a dynamic software development environment such as significant refactoring and organizational changes introduces new concept to the prediction model, thus making improved classification performance difficult. In this study, we investigate and assess the existence and impact of concept drift on SDP performances. We empirically asses the prediction performance of five models by conducting cross-version experiments using fifty-five releases of five open-source projects. Prediction performance fluctuated as the training datasets changed over time. Our results indicate that the quality and the reliability of defect prediction models fluctuate over time and that this instability should be considered by software quality teams when using historical datasets. The performance of a static predictor constructed with data from historical versions may degrade over time due to the challenges posed by concept drift.","","978-1-7281-8913-0","10.1109/QRS51102.2020.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9282807","Defect prediction;Just-in-time Quality assurance;Concept drift","Training;Software quality;Predictive models;Tools;Software reliability;Security;Random forests","learning (artificial intelligence);pattern classification;software maintenance;software metrics;software quality","SDP performances;prediction performance;cross-version experiments;open-source projects;training datasets;defect prediction models;software quality teams;historical datasets;concept drift;just-in-time quality assurance;evolving data;dynamic software development environment;significant refactoring;organizational changes;prediction model;improved classification performance","","","","25","","11 Dec 2020","","","IEEE","IEEE Conferences"
"VulDigger: A Just-in-Time and Cost-Aware Tool for Digging Vulnerability-Contributing Changes","L. Yang; X. Li; Y. Yu","Dept. of Comput. Sci. & Technol., East China Normal Univ., Shanghai, China; Dept. of Comput. Sci. & Eng., Shanghai Jiao Tong Univ., Shanghai, China; Dept. of Comput. Sci. & Technol., East China Normal Univ., Shanghai, China","GLOBECOM 2017 - 2017 IEEE Global Communications Conference","15 Jan 2018","2017","","","1","7","It has been widely adopted to minimize the maintenance cost by predicting potential vulnerabilities before code audits in academia and industry. Most previous research dedicated to file/component level vulnerability prediction models is coarse- grained and may suffer from cost-prohibitive and impractical security testing activities. In this paper, we focus on a cost- aware vulnerability prediction model and present a just-in-time change-level code review tool called VulDigger to dig suspicious ones from a sea of code changes. Our contributions benefit from the case study of Mozilla Firefox by constructing a large-scale vulnerability-contributing changes (VCCs) dataset in a semi-automatic fashion. We then further manifest a classification tool with a mixture of established and new metrics derived from both software defect prediction and vulnerability prediction. Consequently, the precision of such tool is extremely promising (i.e., 92%) for an effort-aware software team. We also examine the return on investment by training a regression model to locate most skeptical changes with fewer lines to inspect. Our findings suggest that such model is capable of pinpointing 31% of all VCCs with only 20% of the effort it would take to audit all changes (i.e., 55% better than random predictor). Our outputs can assist as an early step of continuous security inspections as it provides immediate feedback once developers submit changes to their code base.","","978-1-5090-5019-2","10.1109/GLOCOM.2017.8254428","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8254428","","Tools;Predictive models;Security;Measurement;Software;Computer bugs;Complexity theory","pattern classification;program diagnostics;program testing;public domain software;regression analysis;security of data;software quality","code audits;file/component level vulnerability prediction models;impractical security testing activities;just-in-time change-level code review tool;VulDigger;code changes;large-scale vulnerability-contributing changes dataset;cost-prohibitive security testing activities;cost-aware vulnerability prediction model;Mozilla Firefox;VCC;continuous security inspections;maintenance cost;code base;skeptical changes;regression model;effort-aware software team;software defect prediction;classification tool;semiautomatic fashion","","","","25","","15 Jan 2018","","","IEEE","IEEE Conferences"
"File-Level Defect Prediction: Unsupervised vs. Supervised Models","M. Yan; Y. Fang; D. Lo; X. Xia; X. Zhang","Coll. of Comput. Sci. & Technol., Zhejiang Univ., Hangzhou, China; Sch. of Software Eng., Chongqing Univ., Chongqing, China; Sch. of Inf. Syst., Singapore Manage. Univ., Singapore, Singapore; Dept. of Comput. Sci., Univ. of British Columbia, Vancouver, BC, Canada; Sch. of Software Eng., Chongqing Univ., Chongqing, China","2017 ACM/IEEE International Symposium on Empirical Software Engineering and Measurement (ESEM)","11 Dec 2017","2017","","","344","353","Background: Software defect models can help software quality assurance teams to allocate testing or code review resources. A variety of techniques have been used to build defect prediction models, including supervised and unsupervised methods. Recently, Yang et al. [1] surprisingly find that unsupervised models can perform statistically significantly better than supervised models in effort-aware change-level defect prediction. However, little is known about relative performance of unsupervised and supervised models for effort-aware file-level defect prediction. Goal: Inspired by their work, we aim to investigate whether a similar finding holds in effort-aware file-level defect prediction. Method: We replicate Yang et al.'s study on PROMISE dataset with totally ten projects. We compare the effectiveness of unsupervised and supervised prediction models for effort-aware file-level defect prediction. Results: We find that the conclusion of Yang et al. [1] does not hold under within-project but holds under cross-project setting for file-level defect prediction. In addition, following the recommendations given by the best unsupervised model, developers needs to inspect statistically significantly more files than that of supervised models considering the same inspection effort (i.e., LOC). Conclusions: (a) Unsupervised models do not perform statistically significantly better than state-of-art supervised model under within-project setting, (b) Unsupervised models can perform statistically significantly better than state-ofart supervised model under cross-project setting, (c) We suggest that not only LOC but also number of files needed to be inspected should be considered when evaluating effort-aware filelevel defect prediction models.","","978-1-5090-4039-1","10.1109/ESEM.2017.48","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8170121","Replication Study;Inspection Effort;Effortaware Defect Prediction","Predictive models;Software;Data models;Inspection;Measurement;Logistics;Software engineering","software quality","unsupervised prediction models;software defect models;supervised prediction models;effort-aware file-level defect prediction;effort-aware change-level defect prediction","","9","","52","","11 Dec 2017","","","IEEE","IEEE Conferences"
"A Study of Applying Deep Learning-Based Weighted Combinations to Improve Defect Prediction Accuracy and Effectiveness","C. Huang; Arthur; C. Huang; M. Yang; W. Su","National Tsing Hua University,Department of Computer Science,Hsinchu,Taiwan; National Tsing Hua University,Department of Computer Science,Hsinchu,Taiwan; Institute of Health Policy and Management, National Taiwan University,Taipei,Taiwan; Institute of Health Policy and Management, National Taiwan University,Taipei,Taiwan; Digital Home Center, Realtek Semiconductor Corp.,Taipei,Taiwan","2019 IEEE International Conference on Industrial Engineering and Engineering Management (IEEM)","3 Feb 2020","2019","","","1471","1475","Software errors or bugs are the primary cause of poor software quality. Thus defect prediction is a prominent approach to enhance software quality. It is a common technique for identifying defect-prone programs, which help the practitioners allocate needed quality assurance efforts (e.g., testing and debugging). An accurate prediction may bring significant benefits. However, there is still space for improvements by applying different levels of instances or using some state-of-the-art techniques to construct the prediction models. In this paper, we propose a weighted combination method of activation functions to improve the effectiveness of defect prediction, comprising of weighted arithmetic, geometric, harmonic, contra-harmonic, and cubic combinations. When there are several kinds of classifiers, the method of weighted combinations can be applied to combine the strengths and create a new model or classifier. That is, weighted combination method(s) would be able to combine the advantage of different activation functions to train the neural network in deep learning. Six open-source projects are used to to evaluate the performance of weighted combination methods of activation functions: single, double- and triple-weighted approaches. Experimental results show that double-weighted combinations of activation function outperform single and triple-weighted combinations. It is also worth noting that single activation function outperform triple-weighted combination.","2157-362X","978-1-7281-3804-6","10.1109/IEEM44572.2019.8978786","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8978786","Just-In-Time Defect Prediction;Deep Belief Network;Weighted Combination;Activation Function","","learning (artificial intelligence);neural nets;program testing;software metrics;software quality","defect prediction accuracy;bugs;software quality;defect-prone programs;quality assurance efforts;prediction models;weighted combination method;cubic combinations;triple-weighted approaches;double-weighted combinations;triple-weighted combination;single activation function","","","","22","","3 Feb 2020","","","IEEE","IEEE Conferences"
